Start,End,Asset,Frequency,Total Trades,Total P/L,Trades Won (n),Trades Won (%),Trades Lost (n),Trades Lost (%),Trades Tied (n),Trades Tied (%)
2022-01-03 00:00,2022-03-29 00:00,AAPL,D1,3,-4.520174962000033,1,33.33333333333333,2,66.66666666666666,0,0.0
2022-01-03 01:00,2022-03-29 23:00,EURUSD.a,M5,5,-0.07914565999999987,0,0.0,5,100.0,0,0.0
2022-01-03 01:00,2022-03-29 23:00,GBPUSD.a,M15,5,-0.08072297999999974,0,0.0,5,100.0,0,0.0
2022-02-07 00:00,2022-03-29 00:00,HSBC,D1,2,2.2771169940000027,2,100.0,0,0.0,0,0.0
