Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2022-01-03 01:00:00+00:00,2022-01-10 00:55:00+00:00,0,0,0,0.0
2,2022-01-10 01:00:00+00:00,2022-01-17 00:55:00+00:00,0,0,0,0.0
3,2022-01-17 01:00:00+00:00,2022-01-24 00:55:00+00:00,0,0,0,0.0
4,2022-01-24 01:00:00+00:00,2022-01-31 00:55:00+00:00,2,0,2,-0.03189563999999992
5,2022-01-31 01:00:00+00:00,2022-02-07 00:55:00+00:00,0,0,0,0.0
6,2022-02-07 01:00:00+00:00,2022-02-14 00:55:00+00:00,0,0,0,0.0
7,2022-02-14 01:00:00+00:00,2022-02-21 00:55:00+00:00,0,0,0,0.0
8,2022-02-21 01:00:00+00:00,2022-02-28 00:55:00+00:00,0,0,0,0.0
9,2022-02-28 01:00:00+00:00,2022-03-07 00:55:00+00:00,2,0,2,-0.03158493999999995
10,2022-03-07 01:00:00+00:00,2022-03-14 00:55:00+00:00,1,0,1,-0.015665079999999998
11,2022-03-14 01:00:00+00:00,2022-03-21 00:55:00+00:00,0,0,0,0.0
12,2022-03-21 01:00:00+00:00,2022-03-28 00:55:00+00:00,0,0,0,0.0
13,2022-03-28 01:00:00+00:00,2022-03-29 23:55:00+00:00,0,0,0,0.0
