Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2022-01-03 03:10:00+00:00,1.13629,2022-01-26 21:45:00+00:00,1.12485,-0.015962280000000117
buy,2022-01-26 23:00:00+00:00,1.12407,2022-01-28 09:25:00+00:00,1.11261,-0.015933359999999803
buy,2022-01-28 10:45:00+00:00,1.11294,2022-03-04 02:35:00+00:00,1.10118,-0.016188239999999993
buy,2022-03-04 03:20:00+00:00,1.10218,2022-03-04 15:35:00+00:00,1.09117,-0.015396699999999958
buy,2022-03-04 16:10:00+00:00,1.09193,2022-03-07 12:30:00+00:00,1.08061,-0.015665079999999998
