Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2022-01-03 08:00:00+00:00,1.35025,2022-01-27 13:30:00+00:00,1.33802,-0.017606539999999962
buy,2022-01-27 16:30:00+00:00,1.34026,2022-02-24 16:15:00+00:00,1.33403,-0.011578579999999956
buy,2022-02-24 18:15:00+00:00,1.33564,2022-03-04 15:45:00+00:00,1.32197,-0.01898521999999985
buy,2022-03-04 18:30:00+00:00,1.32169,2022-03-08 09:00:00+00:00,1.30821,-0.01873979999999993
buy,2022-03-08 10:15:00+00:00,1.3125,2022-03-11 20:30:00+00:00,1.30392,-0.013812840000000035
