Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2017-11-27 13:30:00+00:00,1.33457,2017-11-30 04:15:00+00:00,1.34754,-0.018334219999999925
short,2017-11-30 06:45:00+00:00,1.34668,2018-01-02 17:45:00+00:00,1.3585,-0.01723035999999994
short,2018-01-02 18:00:00+00:00,1.35848,2018-01-12 20:30:00+00:00,1.3719,-0.01888075999999999
short,2018-01-12 20:45:00+00:00,1.3718,2018-01-17 20:00:00+00:00,1.38911,-0.022831820000000155
short,2018-01-17 22:00:00+00:00,1.3874,2018-01-23 17:15:00+00:00,1.40178,-0.019958360000000064
short,2018-01-23 18:45:00+00:00,1.39661,2018-01-24 11:30:00+00:00,1.41187,-0.020876960000000055
short,2018-01-24 18:15:00+00:00,1.4222,2018-02-08 14:00:00+00:00,1.40147,0.015082659999999914
short,2018-02-08 17:30:00+00:00,1.40234,2018-03-19 15:00:00+00:00,1.40784,-0.011120360000000065
short,2018-03-19 16:45:00+00:00,1.40613,2018-03-22 15:00:00+00:00,1.42185,-0.021375959999999958
buy,2018-03-22 15:30:00+00:00,1.41421,2018-04-05 15:15:00+00:00,1.40001,-0.019828440000000003
buy,2018-04-05 19:30:00+00:00,1.39991,2018-04-27 11:30:00+00:00,1.38016,-0.025310139999999925
buy,2018-04-27 15:30:00+00:00,1.37634,2018-05-01 16:15:00+00:00,1.36313,-0.01868893999999993
buy,2018-05-01 19:00:00+00:00,1.36176,2018-05-04 16:15:00+00:00,1.34863,-0.0185507800000001
buy,2018-05-04 18:45:00+00:00,1.35338,2018-05-21 11:00:00+00:00,1.33952,-0.01924579999999998
buy,2018-05-21 12:45:00+00:00,1.34076,2018-05-29 10:15:00+00:00,1.32739,-0.018706299999999898
buy,2018-05-29 13:00:00+00:00,1.32711,2018-06-21 09:00:00+00:00,1.31302,-0.019370259999999917
buy,2018-06-21 10:30:00+00:00,1.31484,2018-06-28 15:45:00+00:00,1.30542,-0.01466052000000001
